# symbol(card)	description
load		Load file
in-gain		Input gain
out-gain	Output gain
in-pan		Input pan
eq-gain(1024)	EQ Gain
xover-freq(2)	Crossover
comp-attack(3)	Comp attack
comp-release(3)	Comp release
comp-thresh(3)	Comp threshold
comp-ratio(3)	Comp ratio
comp-knee(3)	Comp knee
comp-makeup(3)	Comp makeup gain
stereo-width(3)	Stereo width
lim-input	Limiter input gain
lim-time	Limiter time
lim-limit	Limiter level
boost		Waveshaper boost
lim-logscale	Limiter logscale
notch-gain(5)	Notch gain
notch-freq(5)	Notch frequency
notch-q(5)	Notch Q
notch-flag(5)	Notch active
